,name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1,desc_2,desc_3
476,La Belleza Colombia,JBC Coffee Roasters,Medium-Light,United States,San Augustin,Huila,5.73,94,2019-06-01,"Balanced, high-toned, richly sweet. Molasses, crisp green tomato, wisteria, Nutella, fresh pipe tobacco in aroma and cup. Sweet-savory-tart structure; very syrupy mouthfeel. Rich-toned finish with notes of dark chocolate, hazelnut and wisteria.",Produced by Miguel Angel Ordonez entirely of the Caturra variety of Arabica and processed by the washed method. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,"An intriguing Colombia cup with deep savory-sweetness, top notes of elegant flowers and undertones of earthy-sweet pipe tobacco."
477,Colombia Pink Bourbon,Paradise Roasters,Medium-Light,United States,Huila,Colombia,7.33,94,2019-06-01,"Elegant, tropical, rich-toned. Strawberry guava, honeysuckle, almond, sandalwood, cacao nib in aroma and cup. Richly sweet structure with bright, vibrant acidity; lush, syrupy mouthfeel. Lingering notes of strawberry and honeysuckle in the delicate finish.","Produced by Angel Ortega and Irma Blancos (both members of the San Agustin Cooperative) entirely of the Pink Bourbon variety of Arabica and processed by the wet or washed method. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information. ",A beautiful fruit- and floral-toned Colombia cup with undertones of rich chocolate and resonant sandalwood.
478,Crystalina,Steady State Roasting Company,Medium-Light,United States,Caldas Growing Region,Colombia,5.88,94,2019-06-01,"Juicy, bright, deeply and richly sweet. Dried strawberry, toffee, lilac, myrrh, maple syrup in aroma and cup. Sweet-tart structure with vivacious acidity; full, syrupy mouthfeel. The resonant finish consolidates to notes of strawberry and toffee.","Produced by Luis Jose Valdes entirely of the Red Bourbon variety of Arabica. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Steady State Roasting is an award-winning small-batch roastery dedicated to the craft and care of providing specialty coffee. The company takes pride in sourcing unique, high-quality coffee direct from farmers so that customers can enjoy fine coffee at home or in the Steady State tasting room in downtown Carlsbad, California. Visit www.steadystateroasting.com for more information.","A lush, high-toned natural Colombia cup, as clean and bright as its name implies."
479,Kenya Kiambu Gititu AA,Kakalove Cafe,Medium-Light,Taiwan,Kiambu Growing Region,South-Central Kenya,5.1,94,2019-05-01,"Richly savory-sweet, balanced, layered and lively. Red currant, maple syrup, honeysuckle, sandalwood, dark chocolate in aroma and cup. Deeply sweet-savory structure with juicy, confident acidity; full, syrupy mouthfeel. Long, flavor-saturated finish centers around red fruit and sweet-spicy floral notes.","Despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A classic Kenya cup: bright, balanced, sweetly savory and deeply vibrant throughout."
480,Hawaiian Kona 100%,Cafe Virtuoso,Medium,United States,Kona Growing District,Big Island Of Hawai'I,17.64,93,2019-05-01,"Cleanly fruit-toned, richly sweet-tart. Raspberry, freesia, oak, pistachio, cacao nib in aroma and cup. Sweetly tart structure with gentle, rounded acidity; full, velvety mouthfeel. Raspberry and freesia notes animate the elegant, crisply sweet finish.","Certified organic. Produced by Robert and Dawn Barnes of Kona Rainforest Farm and processed by the natural, or sun-dried, method. Cafe Virtuoso is a small-batch coffee roaster that is ethically invested in procuring, roasting and delivering the highest quality and best-tasting organic coffee in San Diego. Visit www.cafevirtuoso.com or call 619-550-1830 for more information.","A pretty, richly fruit-toned natural-processed Kona cup, organic-certified."
481,Guatemala Finca El General BlackLand Lot,Kakalove Cafe,Medium,Taiwan,Acatenango Growing Region,Central Guatemala,2.55,92,2019-05-01,"Evaluated as espresso. Deep, rich, chocolaty. Dried apricot, dark chocolate, hazelnut, molasses, cedar in aroma and small cup. Satiny smooth mouthfeel; crisp, sweetly nut-toned finish. Chocolate leads in three parts milk, followed by notes of molasses and hazelnut.","Produced by Verónica Lantan Vela de Acajabon at Finca El General from trees of the Typica and Bourbon varieties of Arabica. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Acatenango is the name of a coffee-growing municipality as well as a famous volcano overlooking the Antigua Valley of Guatemala. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A friendly, cocoa- and nut-toned Guatemala espresso, both as straight shot and in cappuccino-scaled milk."
482,Ninety Plus Gesha Estates JBC Custom Lot #252,JBC Coffee Roasters,Medium-Light,United States,Chiriqui Province,Far Western Panama,43.65,94,2019-05-01,"A complex and overwhelming aromatic immersion. Pink bubblegum, winter spices, salted fudge, candied ginger, elderflower, herbal liqueur (yellow chartreuse?) in aroma and cup. The structure is dramatic: basic tastes are all disconcertingly intense, including sweet, salt and savory, yet they all somehow layer and satisfy. Very full and syrupy mouthfeel with a spicy drying edge. The finish is resonant, slightly bittersweet though chocolaty and rich.","This coffee is a collaboration between brothers Michael Johnson of JBC Coffee Roasters and Joseph Brodsky of the Panama producer Ninety Plus Coffee. It was produced entirely from trees of the celebrated Gesha variety of Arabica, and processed by an unconventional, proprietary variation of the wet method in which the whole coffee fruit is subjected to fermentation and washing before drying. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A coffee that in its wild, unruly intensity and intriguing aromatic drama challenges the boundaries of what coffee is and can be."
483,La Palma Y El Tucan Hero Series Colombia Sidra Lot #190,Bird Rock Coffee Roasters,Medium-Light,United States,Cundinamarca Department,Central Colombia,26.46,96,2019-05-01,"Elaborate, vibrant, exhilarating. Dark chocolate truffle, strawberry guava, candied ginger, lilac, myrrh in aroma and cup. Crisply sweet-tart structure with bright, succulent acidity; very syrupy mouthfeel. The finish is zesty in the short and cocoa- and floral-toned in the long.","This exceptional coffee was selected as the No. 11 coffee on Coffee Review’s list of the Top 30 Coffees of 2019. Produced at La Palma Y El Tucan entirely from trees of the Sidra variety of Arabica, a hybrid of the old and respected varieties Red Bourbon and Typica. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","A uniquely compelling coffee that is, at turns, spicy, floral, chocolaty and fruit-toned, yet in the end harmonious and complete."
484,Suyusama Colombia,Bird Rock Coffee Roasters,Medium-Light,United States,Narino Department,Southern Colombia,5.58,92,2019-05-01,"Richly bittersweet with pleasing savory undertones. Milk chocolate, hop flowers, apricot, narcissus, sandalwood in aroma and cup. Savory-sweet structure with brisk acidity; plush, satiny mouthfeel. Crisp, resonant finish with notes of milk chocolate and hop flowers. ","Suyusama means “beautiful place” in Quechua, the language of the indigenous people of the central Andes. Produced by Padre Joe from trees of the Castillo, Colombia and Caturra varieties of Arabica and processed by the washed method. Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","A deeply rich Colombia coffee with equal parts sweet (chocolate, flowers, fruit) and savory (hop flowers): balanced and inviting."
485,ASOPCAFA Espresso,JBC Coffee Roasters,Medium-Light,United States,Huila Department,Southern Colombia,4.67,91,2019-05-01,"Evaluated as espresso. Round, balanced; softly and sweetly tart. Mango, orange zest, pistachio, cedar, cocoa. Satiny mouthfeel. Cedar, nut and cocoa carry into a resonant, lightly drying finish. Custardy orange and chocolate dominate in three parts milk. ","This coffee was produced by the ASOPCAFA small producer association, a cooperative founded in 2013. It is a wet-processed, or washed, coffee, meaning that the skin and fruit pulp were removed or “washed” from the beans before they were dried. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.  ","A balanced, poised espresso in the newer, brighter style."
486,Rukera Espresso,JBC Coffee Roasters,Medium-Light,United States,Kiambu Growing Region,South-Central Kenya,6.23,97,2019-07-01,"Evaluated as espresso. Exquisitely aromatic: high-toned, savory and impossibly floral. Toffee, dried black currant, myrrh, lavender, fine musk in aroma and small cup. Plush, syrupy mouthfeel; big, complex finish that is equal parts sweet and savory. In cappuccino-scaled milk, a whole new mid-palate is created, something akin to a mushroom custard.","Produced by the Kenya Coffee Research Institute at its demonstration Rukera Farm from trees of the SL28, SL34, K7, Ruiru 11 & Batian varieties of Arabica and processed by the wet, or washed, method. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","An espresso whose expression in the straight shot is classic Kenya in a dance of vibrant sweet and savory and shimmering aromatic complexity; in milk, it’s an almost addictive fine dessert with an umami edge."
487,Colombia Pink Bourbon El Corazon,Bird Rock Coffee Roasters,Medium-Light,United States,Tolima Department,Colombia,8.82,93,2019-07-01,"Rich-toned, deeply floral. Honeysuckle, nectarine, pink peppercorn, oak, Meyer lemon zest in aroma and cup. Vibrantly sweet-tart structure with juicy acidity; crisp, satiny mouthfeel. Spice-toned finish with pretty floral and citrus notes.","Produced by Eliecer Artunduaga entirely from trees of the Pink Bourbon variety of Arabica and processed by the wet, or washed, method. Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","A floral- and spice-toned cup: balanced, complex, multilayered."
488,L2 Love Espresso Blend,DoDo Kaffa,Medium-Light,Taiwan,Kenya,Tolima Department,8.53,93,2019-07-01,"Evaluated as espresso. Crisp, sweetly spice-toned. Pomegranate, cedar, dark chocolate, magnolia, a hint of cumin in aroma and small cup. Crisp, satiny mouthfeel; tart-leaning, richly drying finish. Tart flavors stand up to three parts milk, in which dark chocolate and magnolia are also amplified.","This coffee tied for the highest rating in a tasting of “classic” espresso blends from Taiwanese roasters for Coffee Review’s June 2019 report. This is a blend of coffees from two different growing regions of Kenya, Kiambu and Nyeri. DoDo Kaffa is a nano-roaster of specialty coffee based in Taipei City, Taiwan since 2009. For more information, visit https://www.facebook.com/dodokaffa/.","A Kenya espresso blend, through and through, with the hallmark brightness and savory edge associated with this origin’s classically sweet-tart structure."
489,Guatemala-Ethiopia Espresso Blend,Dory Coffee Roasters,Medium-Light,Taiwan,Ethiopia,Guatemala,5.69,93,2019-07-01,"Evaluated as espresso. Bright, floral, sweetly herbaceous. Tangerine zest, lemon verbena, dark chocolate, narcissus-like flowers, sandalwood in aroma and small cup. Crisp, satiny mouthfeel; resonant finish consolidates to narcissus and sandalwood. In cappuccino-scaled milk, this coffee is driven by deep florals and rich aromatic wood notes, with a base of dark chocolate.","This coffee tied for the highest rating in a tasting of “classic” espresso blends from Taiwanese roasters for Coffee Review’s June 2019 report. A blend of washed and natural-processed Ethiopia coffees (Yirgacheffe and Sidamo, respectively) and a washed Guatemala Huehuetenango. Dory Coffee Roasters is a Taipei-based nano-roaster of specialty coffee. For more information, visit https://www.facebook.com/dorycoffee99/.","A “classic” third-wave espresso that presents bittersweet citrus, rich floral and lemony herb notes, all rounded by chocolate throughout."
490,Black Meow Blend,Kakalove Cafe,Medium,Taiwan,Colombia,Guatemala,2.34,93,2019-07-01,"Evaluated as espresso. Bittersweet, gently roast-toned, chocolaty. Chocolate fudge, roasted hazelnut, green apple, molasses, singed cedar in aroma and small cup. Silky-smooth mouthfeel; crisp, richly drying finish. Reads like a classic Italian espresso in three parts milk, bitter and sweet in equal parts, balanced and harmonious with a hint of roast throughout.","This coffee tied for the highest rating in a tasting of “classic” espresso blends from Taiwanese roasters for Coffee Review’s June 2019 report. A blend comprised of wash-processed coffees from Tolima, Colombia, Acatenango, Guatemala, and Yirgacheffe, Ethiopia. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","Suggests traditional Italian-style espresso, bittersweet and accessible, with especially pretty chocolate notes."
491,Karibu Espresso Blend,De Clieu Coffee,Light,Taiwan,Ethiopia,Panama,5.66,92,2019-07-01,"Evaluated as espresso. Crisply sweet-tart, spice-toned. Baker’s chocolate, cardamom, tart cherry, fir, almond butter in aroma and small cup. Creamy body; bittersweet, wood-framed finish. Cardamom-toned chocolate blooms in three parts milk, along with sweet nut and tart fruit notes.","This coffee earned the second-highest rating in a tasting of “classic” espresso blends from Taiwanese roasters for Coffee Review’s June 2019 report. Comprised of three natural-processed Ethiopia coffees (Yirgacheffe, Gotiti and Shakisso) and a washed Panama Santa Clara Hartmann. De Clieu Coffee is a Taiwan-based roaster whose mission it is to explore extraordinary coffees. For more information, visit https://m.facebook.com/declieucoffeetaipei.","An unusual espresso blend, sweet and tart, with intriguing spice notes suggesting cardamom."
492,Sun Sun Sun Sun Sun Sun Sun Sun Sun Blend,Small Eyes Cafe,Light,Taiwan,Ethiopia,Panana,5.6,93,2019-07-01,"Evaluated as espresso. High-toned, fruit-forward. Watermelon candy, salted caramel, vanilla, milk chocolate, cinnamon in aroma and small cup. Full, creamy mouthfeel; delicate, sweet-toned finish centered around notes of watermelon candy and cinnamon. Dessert-like in the milk shot, all fruit and candy with a hint of cinnamon.","This coffee tied for the highest rating in a tasting of “classic” espresso blends from Taiwanese roasters for Coffee Review’s June 2019 report. A blend comprised of nine different natural-processed coffees (hence the nine-part repetition in the name) from Ethiopia, Panama, Guatemala, and Honduras. Small Eyes Café is a small, family-owned coffee shop in Yilan, Taiwan, specializing in artisanally roasted specialty coffee and homemade desserts. Visit https://www.facebook.com/Smalleyescafe for more information.",An avant-garde espresso blend of nine different natural-processed coffees — ideal for the lover of unabashedly fruit-toned coffees.
493,Ethiopia Hambela 1 Organic Natural Alaka,SkyTop Coffee,Medium-Light,United States,Hambela District,Oromia Growing Region,4.41,92,2019-06-01,"Deeply sweet, fruit-toned, with a hint of sweet ferment. Baker’s chocolate, plum, narcissus, barrel-aged rum, cedar in aroma and cup. Sweet-toned structure with brisk acidity; full, satiny mouthfeel. Richly drying, flavor-saturated finish. ","Certified organic. Oromia is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. This is a “natural” or dry-processed version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Hambela Estate has produced fine coffee since the 1950’s. It is operated by exporter METAD, which also operates the only privately-owned quality-control laboratory in Ethiopia that carries Specialty Coffee Association of America (SCAA) certification. SkyTop Coffee is a USDA certified-organic specialty coffee roaster based in Manlius, New York. For more information, visit skytopcoffee.com.","A pleasing Ethiopia natural: balanced, accessible, sweetly fruit-forward."
494,Brazil Ibicoara Chapada Diamantina Natural,SkyTop Coffee,Medium,United States,Ibicoara Municipality,Chapada Diamantina Region,4.41,91,2019-06-01,"Richly sweet, nut-toned. Date, hazelnut, sassafras, elm, freesia-like flowers in aroma and cup. Sweet-savory structure with gentle, round acidity; satiny mouthfeel. Long, undulating finish centered around sweet hazelnut notes.","Produced by Luca Allegro, Nelson Ribeiro, Fazendas Floresta and Aranquan, and Asociación Biodinámica d'Ibicoara, entirely from trees of the Catuai variety of Arabica and processed by the natural, or dried-in-the-fruit, method. Certified organic. SkyTop Coffee is a USDA certified-organic specialty coffee roaster based in Manlius, New York. For more information, visit skytopcoffee.com.","A solid Brazil natural: clean, deeply sweet, with a pleasing savory throughline."
495,Costa Rica Coto Brus-La Amistad,SkyTop Coffee,Medium-Light,United States,Coto Brus,Puntarenas,4.41,90,2019-06-01,"Crisply sweet-tart. Lemon verbena, cherry, oak, cocoa nob, honeysuckle in aroma and cup. Sweet-tart structure with vibrant acidity; velvety mouthfeel. The finish consolidates to notes of cherry and oak.","Produced by Roberto Montero from trees of the Caturra and Catuai varieties of Arabica and processed by the wet, or washed, method. Certified organic. SkyTop Coffee is a USDA certified-organic specialty coffee roaster based in Manlius, New York. For more information, visit skytopcoffee.com.","A friendly, easy-drinking Costa Rica cup, lively with citrusy herb notes and sweet florals."
496,Karimikui AA Kenya,Collage Coffee,Light,United States,Central Kenya,Coto Brus,5.29,93,2019-06-01,"Deep, rich, roundly pungent. Lime zest, date, maple syrup, magnolia, fresh-cut cedar. Balanced sweet-tart-savory in structure, with a lime-brightened gleam of acidity. Full, syrupy though drying mouthfeel. Flavor consolidates in a robust, layered short finish, fading and drying slightly in the long. ","Processed by a particularly meticulous Kenya variation on the traditional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds in two stages before they are dried. AA is the highest grade of Kenya coffee based on bean size and freedom from imperfections. Colläge Coffee is a micro-roastery featuring specialty coffee and house brewed kombucha. Colläge works with local artists to promote fine arts in its region, and loves serving its community. This coffee is available for purchase at the Colläge store and cafe, 221 South Broad Street, Grove City, Pennsylvania.","A big, richly, authoritative sweet-savory Kenya, lifted and animated by shimmers of flowers and tart citrus."
497,Peru Antonio Regalado Diaz El Huyacan La Palma,Big Shoulders Coffee,Medium-Light,United States,Cajamarca,Peru,6.17,93,2019-06-01,"Floral-toned, richly sweet. Wisteria, toffee, lime zest, frankincense, apricot in aroma and cup. Bittersweet structure with confident, citrusy acidity; delicate, silky mouthfeel. The crisp finish consolidates to notes of toffee and lime zest with undertones of frankincense.","Produced by Antonio Regalado Diaz at El Huyacan La Palma Farm from trees of the Bourbon, Typica, and Caturra varieties of Arabica and processed by the washed method. Big Shoulders Coffee is a Chicago artisan roaster that emphasizes a fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-888-3042 for more information.","An inviting coffee from Peru, characterized by deep florals and balanced by notes of stone fruit and citrus zest."
498,Bella Carmona Guatemala,JBC Coffee Roasters,Medium-Light,United States,Antigua Growing Region,Guatemala,4.67,93,2019-06-01,"Deeply rich, equally sweet and savory. Brown sugar, hop flowers, toasted coconut, chestnut, sumac in aroma and cup. Sweet-tart-savory structure with vibrant, juicy acidity; viscous, satiny mouthfeel. The resonant finish consolidates to coconut and chestnut with undertones of brown sugar.","Comprised of coffees from trees of the Caturra, Bourbon and Typica varieties of Arabica and processed by the washed method. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","Sweet and savory in equal measure, with a tart throughline: complex, nuanced, and multilayered."
499,Peru Natural Jose Herrera Lot 21,Kakalove Cafe,Medium-Light,Taiwan,Cajamarca,Peru,3.68,93,2019-06-01,"Richly fruit-toned, chocolaty. Dried raspberry, dark chocolate, sandalwood, almond, freesia-like flowers in aroma and cup. Sweetly tart in structure with round, gentle acidity; full, syrupy mouthfeel. Fruit- and chocolate-centered in the finish as well, with pretty freesia notes.",Produced by Graciano Cruz of the Typica and Caturra varieties of Arabica and processed by the dry or natural method. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.,"A heady coffee with clean, confident fruit notes throughout, supported by deep chocolate and spice-toned florals."
500,Burundi Dukorerikawa Natural,Flight Coffee Co.,Medium-Light,United States,Bururi Growing Region,Burundi,4.7,93,2019-06-01,"High-toned, fruity, deeply savory. Cocoa nib, plum sauce, brown sugar, sumac, freesia in aroma and cup. Round and deep, richly sweet-savory structure; full, chewy mouthfeel. The finish resolves with a simple yet compelling sweet and tart resonance.","Burundi is a small, landlocked country in the Great Lakes region of Central Africa. Most coffee is grown in the mountains of the north, bordering Rwanda. Benefiting from ideal growing conditions and large plantings of local strains of the heirloom Bourbon variety of Arabica, Burundi coffees have developed an excellent and growing reputation. Processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Flight Coffee Co. is a coffee-loving, quality-focused roasting company based in Bedford, New Hampshire.Visit www.flightcoffeeco.com or call 603-836-6228 for more information.",An attractively bright and fruit-centered coffee with unique and inviting savory elements.
501,Guatemala Acatenango Washed Lot 503 Espresso,Kakalove Cafe,Medium,Taiwan,Acatenango Growing Region,Guatemala,2.83,93,2019-06-01,"Evaluated as espresso. Cocoa-toned, deeply sweet. Cocoa powder, date, cedar, apricot, blood orange zest in aroma and small cup. Big, creamy mouthfeel; the finish is redolent of cocoa and citrus zest. In cappucino-scaled milk, cocoa tones are amplified, as are notes of stone fruit and citrus.","Produced by Verónica Lantan Vela de Acajabon at Finca El General from trees of the Typica and Caturra varieties of Arabica. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Acatenango is the name of a coffee-growing municipality as well as a famous volcano overlooking the Antigua Valley of Guatemala. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A satisfying Guatemala espresso: balanced, with notes of stone fruit and cocoa. Especially attractive in the milk shot."
502,The Core Espresso,Highwire Coffee Roasters,Medium,United States,Ethiopia,Guatemala,5.07,94,2019-06-01,"Evaluated as espresso. High-toned, sweetly tart; Bing cherry, dark chocolate, tangerine zest, honeysuckle, a hint of fine pipe tobacco in aroma and small cup. Full, syrupy mouthfeel; earthy-sweet finish. In cappuccino-scaled milk, dark chocolate is amplified, as are deep florals, while tart fruit notes round.","This exceptional coffee was selected as the No. 28 coffee on Coffee Review’s list of the Top 30 Coffees of 2019. This coffee also tied for the highest rating in a tasting of “classic” espresso blends for Coffee Review’s June 2019 tasting report. A blend of coffees from Ethiopia, Guatemala, Papua New Guinea, and Sumatra, all conventionally wet-processed except for the Sumatra, which is washed and wet-hulled. Highwire Coffee Roasters is a small-batch coffee roaster located in Emeryville, California. Established in 2011, Highwire pursues the straightforward goal of sharing the coffees it loves with the community. Visit www.highwirecoffee.com or call 510-420-0473 for more information.","A masterful blend of coffees from four different coffee-producing countries that nets a vibrant, engaging shot and a rich, decadent cappuccino."
503,Espresso Mandarina,Amavida Coffee Roasters,Medium,United States,Congo,Ethiopia,4.98,94,2019-06-01,"Evaluated as espresso. Spice-toned, fruit-forward. Dried raspberry, cinnamon, dark chocolate, almond butter, narcissus in aroma and small cup. Crisp, satiny texture; resonant, flavor-saturated finish. In three parts milk, balanced and chocolaty, with lingering spice notes.","This exceptional coffee was selected as the No. 21 coffee on Coffee Review’s list of the Top 30 Coffees of 2019. This coffee also tied for the highest rating in a tasting of “classic” espresso blends for Coffee Review’s June 2019 tasting report. A blend of coffees including a wet-processed Red Bourbon variety of Arabica from the Democratic Republic of the Congo and natural-processed Ethiopia. This coffee is certified organically grown and certified fair trade, the latter meaning it was purchased at no less than a minimum price determined by the certifying agency to be economically sustainable for the farmers. The company name Amavida combines the Spanish words for love and life, reflecting Amavida’s multifaceted commitment to fairness and fine coffee. For further information visit www.amavida.com or call 850-213-1965.","A juicy, balanced espresso blend, both in the straight shot—where berry notes predominate—and in milk—where chocolate frames the fruit and florals."
504,SOB Espresso,Folly Coffee Roasters,Medium,United States,Colombia,Congo,5.57,94,2019-06-01,"Evaluated as espresso. Deeply chocolaty, richly floral. Chocolate fudge, lilac, peach, fresh-cut cedar, hazelnut butter in aroma and small cup. Crisp, satiny-smooth mouthfeel; the deep, long, resonant finish maintains all of the aroma and flavor notes from the cup. Also profoundly satisfying in three parts milk, with chocolate and florals in a slow dance and fruit returning to the surface in the long finish.","This coffee tied for the highest rating in a tasting of “classic” espresso blends for Coffee Review’s June 2019 tasting report. A single-origin blend of coffees from various Inza smallholder farmers in Colombia and comprised of the Castillo, Caturra and Colombia varieties of Arabica. Visit www.follycoffee.com for more information.","An unusually successful “melange” coffee in which the same blend of green beans is roasted both darker and lighter, then combined. This version hits all of the notes associated with a complete, classic espresso: rich, resounding, chocolaty, floral and fruit-toned."
505,Ethiopia Yirgacheffe Chelelektu Natural,Dragonfly Coffee Roasters,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.29,96,2019-08-01,"Deeply sweet, elegantly rich. Mulberry, sandalwood, tangerine zest, jasmine, baking spices in aroma and cup. Sweetly tart in structure with high-toned, juicy acidity; plush, syrupy mouthfeel. The seemingly infinite finish fulfills the promise of the cup, leading with deep berry and citrus zest, rounding to floral-toned spice.","Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. This is a “natural” or dry-processed version, meaning the beans were dried inside the fruit, encouraging a flavor profile that is less predictable and deeper than the more familiar wet-processed floral- and citrus-toned Yirgacheffe profile. Boulder, Colorado-based Dragonfly Coffee was named 2019 Micro-Roaster of the Year by Roast magazine. Visit dragonflycoffeeroasters.com or call 303-579-2154 for more information.","A complex, nuanced expression of a natural-processed Yirgacheffe coffee: fruit-forward, balanced, juicy and multi-layered — the fruit-centered genius of a natural conveyed with the completeness and inevitability of a classic."
506,Kenya Kimaruri,Caffe Luxxe,Medium-Light,United States,Nyeri Growing Region,South-Central Kenya,6.76,94,2019-08-01,"Crisply sweet, richly savory, vibrant. Red currant, jasmine, maple syrup, sandalwood, cacao nib in aroma and cup. The structure is harmoniously sweet-tart-savory with juicy, lively acidity. Plush, syrupy mouthfeel. The richly drying finish centers around red currant and sandalwood with a hint of jasmine in the long.","Produced at the Kahinga Factory from trees of the SL28, SL34, Batian and Ruiru 11 varieties of Arabica. Despite challenges ranging from unclear government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world’s most elegant and distinctive coffees. Caffè Luxxe is an Italian-inflected artisan roaster and retailer that emphasizes both its coffee knowledge and precision and its straightforward lack of pretension. Visit www.caffeluxxe.com or call 310-394-2222 for more information.","A classic Kenya cup: sweet, tart, juicy all wrapped together with deep-toned red fruit and spicy floral notes."
507,Zambia Kateshi Natural,Peach Coffee Roasters,Medium-Light,United States,Northern Province,Zambia,5.0,92,2019-08-01,"Crisp, cleanly fruit-centered. Dried raspberry, honeysuckle, grapefruit zest, cedar, cacao nib in aroma and cup. Sweet-toned with gentle acidity; velvety-smooth mouthfeel. Fruit-toned in the finish, supported by cacao nib and cedar.","Produced at Kateshi and Isanya Estates from trees of the Bourbon and Catimor varieties of Arabica and processed by the natural, or sun-dried-in-the-fruit, method. Peach Coffee Roasters is an Atlanta, Georgia-based specialty roaster. Visit www.peachcoffeeroasters.com for more information.","A pretty, fruit-prominent natural-processed coffee expressing balance and finesse."
